video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=mCqh9sV3hm8&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@TravisMarziani,Travis Marziani,FREE Amazon FBA Course | COMPLETE Step by Step Tutorial For Beginners,831K,1 year,"In this FREE 6-hour tutorial, I will talk in-depth about the 5 STEPS to start selling on Amazon. Learn everything you need to know ...",2024-01-28 08:03:26.661847
/watch?v=nShJrSFKPDM&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@techfulgadgets3632,Techful Gadgets,70 Best Tech Gadgets June 2023 On Amazon,180K,7 months,70 Best Tech Gadgets June 2023 On Amazon ............................................................................................ Copyright Disclaimer Under ...,2024-01-28 08:03:26.664830
/shorts/hGOBGUnMTJc,/@WebBeast,Web Beast,✅ Earn Rs 1000/Day from Amazon Affiliate Marketing | Earn Money Online from Amazon in 2023,772K,11 months,Earn Rs 1000 Daily from Amazon Affiliate Marketing | Earn Money Online from Amazon in 2023 Checkout Popular Amazon ...,2024-01-28 08:03:26.667993
/shorts/gjXwSGpu7Ac,/@TrevinPeterson,Trevin Peterson,Why You Should Start Amazon FBA in 2023!!,15K,2 years,FREE Step by Step Selling on Amazon Guide HERE: https://www.freefbaguide.com/,2024-01-28 08:03:26.671103
/watch?v=ANLV6RXO0kU&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@CNBC,CNBC,"Why Amazon, Google and Microsoft Laid Off Thousands Of Tech Workers",456K,11 months,"Tech giants like Amazon, Google and Microsoft have laid off tens of thousands of workers in the past few months. After going on a ...",2024-01-28 08:03:26.673956
/watch?v=Q0hiTFBNXnQ&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@junglescout,Jungle Scout,How to Sell on Amazon FBA if You Live Outside the USA 🇺🇸 (2023),63K,3 years,****************** Today you are going to learn how to sell on Amazon if you live outside of the USA. We will share 5 of the ...,2024-01-28 08:03:26.677818
/shorts/_2gtThDTRm0,/@A2z_Knowledge,SABBI XYZ,Amazon vs Flipkart 🤯 कौन ज्यादा पैसे 💸 कमाता है❓#shorts,153K,11 months,Amazon vs Flipkart कौन ज्यादा पैसे कमाता है❓#shorts #shorts #ytshorts #trendingshorts #viralshorts ...,2024-01-28 08:03:26.680651
/watch?v=U_vsRsBuaPY&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@LisaLisaD1,LisaLisaD1,"BEST 21 Amazon Purchases Of 2023:  The ULTIMATE Fashion, Beauty, And Home Must-haves!",50K,2 weeks,Some links used are ode)affiliate ~Thank you for your support! Lisa.,2024-01-28 08:03:26.683408
/watch?v=k9bzDVLMN9Y&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@BenAlistor,Ben Alistor,Amazon FBA UK For Beginners 2024 - Step By Step Tutorial,27K,1 year,Ben on Tik Tok @Ben_Alistor Ben on Instagram @BenAlistor Ben on Twitter @BenAlistor Ben on LinkedIn @Ben Alistor Ben on ...,2024-01-28 08:03:26.687158
/watch?v=jU3pmyumg6A&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@SwittyKiwi,The Awesome S'witty Kiwi Show,How to Open an Amazon Delivery Business in 2023: The Amazon Logistics Business Model 🔶SHIP S1•E2,120K,2 years,How to Open an Amazon Delivery Business in 2023: The Amazon Logistics Business Model. Want to start an Amazon delivery ...,2024-01-28 08:03:26.690297
/watch?v=bOu-A2mbYBk&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@WION,WION,"World Business Watch: Amazon layoffs to extend into 2023, more role reductions at company | WION",10K,1 year,Amazon said that there would be more role reductions at its annual planning process extends into next year which means more ...,2024-01-28 08:03:26.693092
/watch?v=eRvVbwhE2nM&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@JacquelineVagar,Jacqueline Vagar,"How to Sell on Amazon in 2023: The Different Business Models (Beginners Guide), Amazon FBA Explained",6.9K,7 months,Not sure which Amazon business model is best for you? In this video I break down the top methods and explain the differences so ...,2024-01-28 08:03:26.695705
/watch?v=_hH2RseKKjY&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@thedealguy,The Deal Guy,When is Amazon Prime Day 2023 and What You NEED To KNOW!,1M,6 months,When is Amazon Prime Day 2023? What's the Date? What's on Sale? If you want to know the answers then you need to watch this ...,2024-01-28 08:03:26.699703
/watch?v=iNML7TtzfTY&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@thedealguy,The Deal Guy,10 NEW Amazon Prime Benefits You SHOULD Know in 2023!,795K,9 months,These are 10 NEW Amazon Prime Membership Benefits in 2023 that you should know in order to get the most out of your prime ...,2024-01-28 08:03:36.286045
/watch?v=R0tfJpPhMYg&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@WION,WION,Amazon Layoffs: Job cuts at Amazon music | World Business Watch | WION,1.3K,2 months,"Amazon is facing yet another round of layoffs. This time, it's the turn of the music division to face the music. Reports suggest that ...",2024-01-28 08:03:36.288582
/watch?v=DcWqzZ3I2cY&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@lexfridman,Lex Fridman,Jeff Bezos: Amazon and Blue Origin | Lex Fridman Podcast #405,3.5M,1 month,Jeff Bezos is the founder of Amazon and Blue Origin. Thank you for listening ❤ Please support this podcast by checking out our ...,2024-01-28 08:03:36.290932
/watch?v=0hY-3kStSE8&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@SantrelMedia,Santrel Media,How To Set Up An Amazon Seller Central Account 2024,62K,3 months,"In this video, we show you how to set up an Amazon FBA seller account 0:00 - Start Here 1:16 - Types of accounts 2:45 - Creating ...",2024-01-28 08:03:36.293018
/watch?v=l8HQuC5GsVc&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@TruckingTopicsToday,Trucking Topics Today,NEW Amazon Relay Trucking Requirements 2023 | Owner Operator Trucking Business,42K,1 year,"In this video, Amazon Relay has made some recent changes to their approval process. I tell you what those changes are, and the ...",2024-01-28 08:03:36.294333
/watch?v=oO4TB7brqlg&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@BlueTuskr,BlueTuskr,How to Create an Amazon Product Listing in Seller Central - 2023,9.1K,9 months,Welcome to E-commerce Tutorials powered by BlueTuskr! SUBSCRIBE HERE -- https://bit.ly/BlueTuskrYT 🎙️ The E-Comm ...,2024-01-28 08:03:36.295625
/shorts/99xRcY02GZE,/@SuperBigFacts,Super Big Facts,Amazon vs Flipkart 🔥 which is better 🤩 #shorts,118K,9 months,amazonvsflipkart #flipkartvsamazon #shortsbeta #shortsfeed #shortsindia #youtubeshorts #superbigfacts #flipkart #amazon ...,2024-01-28 08:03:36.299243
/watch?v=DcsTunFe6Jg&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@FBA-Elite,Darren - FBA Elite,How To Start Amazon FBA in 2023 (Step by Step for Beginners),16K,1 year,How to start Amazon FBA step by step as a BEGINNER and make £1000 per month PROFIT! These are the exact steps I followed ...,2024-01-28 08:03:36.300538
/shorts/RysBS-aYWIU,/@justicebuys1,Justice Buys,Top 15 Amazon Products for August #justicebuys #shorts #amazonfinds #productreview,30M,5 months,Top 15 Amazon products for August this is a lazy Susan which makes it easy to pass food around your kitchen table this is an ...,2024-01-28 08:03:36.301856
/shorts/NqznhoytakE,/@Raikenprofit,Raiken Profit,Amazon FBA vs FBM: What Works Better?,107K,1 year,First mistake that people make when selling on Amazon is that they actually sell as an fbm seller instead of an FBA seller as an ...,2024-01-28 08:03:36.303230
/watch?v=JPWasGuv0nE&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@KTVUFox2,KTVU FOX 2 San Francisco,"More tech job layoffs announced at Google, Amazon, and Snap",195K,2 months,"Some major tech companies announced another round of job cuts on Thursday. Google, Amazon and Snap are among the ...",2024-01-28 08:03:36.304608
/watch?v=Yiafb0-gqF4&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@CNBC,CNBC,How Amazon Delivers On One-Day Shipping,9.8M,4 years,"Prime Day, Amazon's biggest shopping event, is here, and now one-day shipping is the norm for tens of millions of items available ...",2024-01-28 08:03:36.306510
/watch?v=rfU1FGu6taI&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@CNN,CNN,Amazon founder Jeff Bezos says he'll give away his wealth,471K,1 year,"In an exclusive interview, Amazon founder Jeff Bezos and partner Lauren Sanchez tell CNN's Chloe Melas why they awarded ...",2024-01-28 08:03:36.307866
/shorts/9zieRNab-pM,/@LukeWechselberger,Luke W,How to Sell on Amazon in 60 Seconds! FBA for beginners!,422K,1 year,How to sell on amazon fba for beginners in 60 seconds! GET STARTED SELLING ON AMAZON NOW! Mini Course (made it cost a ...,2024-01-28 08:03:36.309231
/shorts/tvnmEhDjbD4,/@meetsharmachannel,Meet Sharma,Amazon Recruitment 2023|Amazon Work From Home|Amazon New Vacancy 2023|Meet Sharma|Amazon Jobs,83K,11 months,"Amazon Recruitment 2023,Amazon Vacancy 2023,Amazon Job vacancy 2023|AMAZON BHARTI 2023|Amazon Jobs 2023,Work ...",2024-01-28 08:03:36.310846
/shorts/jY_8J0AoayY,/@PinkuNeog,Pinku Neog,amazon me return kaise kare 2023 || how to return product on amazon,391K,9 months,amazon me return kaise kare 2023 || how to return product on amazon #amazon #shortsfeed #items #2023 #pinkuneog ...,2024-01-28 08:03:36.312326
/watch?v=zGmiXUklcsk&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@KING5Seattle,KING 5 Seattle,Amazon announces layoffs in its Alexa division,2.5K,2 months,Amazon is cutting hundreds of jobs in the unit that handles its popular voice assistant Alexa as it plows more resources into ...,2024-01-28 08:03:36.315820
/watch?v=s-X9ocLWcvQ&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@thedealguy,The Deal Guy,10 Home Gadgets You NEED on Amazon in 2023!,904K,8 months,I thought it was about to time to make a list of the 10 BEST smart home gadgets on amazon in 2023. These are serious MUST ...,2024-01-28 08:03:36.317775
/watch?v=_w-LOJGz93w&pp=ygUTYW1hem9uIGNvbXBhbnkgMjAyMw%3D%3D,/@DanaBerez,Dana Berez,28 *BEST* Amazon Must Haves of 2023 🎉,32K,3 weeks,Here are my Amazon Must Have Purchases of 2023 → Everything Linked Here: https://amzlink.to/az0R99KNCSkwL ♡ LINKS TO ...,2024-01-28 08:03:36.319595
